record_type,product_ticker,product_name,issuer,exchange,benchmark_index_name,index_provider,theme,region,methodology_url,holdings_url,holdings_file_type,holdings_update_frequency,rebalance_frequency,reconstitution_frequency,rebalance_months,announcement_source,aum,management_fee,number_of_holdings,max_weight_rules,liquidity_rules,market_cap_rules,weighting_scheme,asx_exposure_flag,current_asx_holdings_count,historical_data_available_flag
etf,URNM,Sprott Uranium Miners ETF,Sprott,NYSE Arca,North Shore Sprott Uranium Miners Index,Sprott,uranium,Global,https://sprottetfs.com/,https://sprottetfs.com/,csv,daily,semi-annual,semi-annual,"6,12",https://sprottetfs.com/,1700000000,0.0075,40,modified market cap,,,,modified-market-cap,True,8,False
etf,REMX,VanEck Rare Earth/Strategic Metals ETF,VanEck,NYSE Arca,MVIS Global Rare Earth/Strategic Metals Index,MarketVector,rare_earths_strategic_metals,Global,https://www.vaneck.com/us/,https://www.vaneck.com/us/,csv,daily,quarterly,quarterly,"3,6,9,12",https://www.vaneck.com/us/,,0.0057,,8% cap,,,,True,,False
