etf,etf_name,aum_$m,n_asx,n_thin_asx
VEQ.AX,Vanguard FTSE Europe Shares ETF,598.1,0,0
CORE.AX,Schroder Global Core Fund - Active ETF,,0,0
QUAL.AX,VanEck - MSCI International Quality ETF,8800.0,0,0
SPY.AX,State Street SPDR S&P 500 ETF,,0,0
STW.AX,State Street SPDR S&P/ASX 200 ETF,,0,0
UBU.AX,UBS IQ MSCI USA Ethical ETF,,0,0
QAG.AX,BetaShares Agriculture ETF Currency Hedged (Synthetic),,0,0
VGMF.AX,Vanguard Global Multi-Factor Active ETF (Managed Fund),,0,0
IMPQ.AX,Perennial Better Future Active ETF,,0,0
PMGOLD.AX,Perth Mint Gold Structured Product,,0,0
IKO.AX,iShares MSCI South Korea ETF,224.8,0,0
VTS.AX,Vanguard U.S. Total Market Shares Index ETF,6771.0,0,0
BILL.AX,iShares Core Cash ETF,1210.6,0,0
VACF.AX,Vanguard Australian Corporate Fixed Interest Index ETF,725.2,0,0
IWLD.AX,iShares Core MSCI World ex Australia ESG ETF,1719.4,0,0
OZR.AX,State Street SPDR S&P/ASX 200 Resources ETF,,0,0
ETPMAG.AX,Global X - Physical Silver Structured,,0,0
SEMI.AX,Global X - Semiconductor ETF,1226.0,0,0
VISM.AX,Vanguard MSCI International Small Companies Index ETF,895.5,0,0
QMIX.AX,State Street SPDR MSCI World Quality Mix ETF,,0,0
QHAL.AX,VanEck - MSCI International Quality (AUD Hedged) ETF,2600.0,0,0
IHEB.AX,iShares J.P. Morgan USD Emerging Markets Bond (AUD Hedged) ETF,50.6,0,0
RSM.AX,Russell Investments Australian Semi-Government Bond ETF,,0,0
ESTX.AX,Global X - EURO STOXX 50 ETF,475.7,0,0
VESG.AX,Vanguard Ethically Conscious International Shares Index ETF,1481.4,0,0
AGVT.AX,BetaShares - Australian Government Bond ETF,,0,0
IHWL.AX,iShares Core MSCI World ex Australia ESG (AUD Hedged) ETF,1050.4,0,0
OOO.AX,BetaShares - Crude Oil Index Currency Hedged Complex ETF,,0,0
BNDS.AX,Betashares Western Asset Australian Bond Active ETF,,0,0
ETPMPD.AX,Global X - Physical Palladium Structured,,0,0
INES.AX,Intelligent Investor Ethical Share ETF,,0,0
WDIV.AX,State Street SPDR S&P Global Dividend ETF,,0,0
EMKT.AX,VanEck - MSCI Multifactor Emerging Markets Equity ETF,837.8,0,0
EIGA.AX,Perennial Income Generator Active ETF,,0,0
IHCB.AX,iShares Core Global Corporate Bond (AUD Hedged) ETF,336.6,0,0
RCB.AX,Russell Investments Australian Select Corporate Bond ETF,,0,0
CETF.AX,VanEck - FTSE China A50 ETF,39.3,0,0
ISEC.AX,iShares Enhanced Cash ETF,613.0,0,0
SLF.AX,State Street SPDR S&P/ASX 200 Listed Property ETF,,0,0
IJP.AX,iShares MSCI Japan ETF,1598.6,0,0
DJRE.AX,State Street SPDR Dow Jones Global Real Estate ESG Tilted ETF,,0,0
JHGA.AX,JPMorgan Global Equity Premium Income Hedged Complex ETF,,0,0
ZUSD.AX,ETFS Physical US Dollar ETF,,0,0
IHVV.AX,iShares S&P 500 (AUD Hedged) ETF,4075.1,0,0
VAE.AX,Vanguard FTSE Asia ex Japan Shares Index ETF,847.6,0,0
BOND.AX,State Street SPDR S&P/ASX iBoxx Australian Bond ETF,,0,0
VAF.AX,Vanguard Australian Fixed Interest Index ETF,3627.2,0,0
REIT.AX,VanEck - FTSE International Property (AUD Hedged) ETF,770.4,0,0
IHHY.AX,iShares Global High Yield Bond (AUD Hedged) ETF,238.1,0,0
VEFI.AX,Vanguard Ethically Conscious Global Aggregate Bond Index (Hedged) ETF,71.6,0,0
ETPMPT.AX,Global X - Physical Platinum Structured,,0,0
XARO.AX,Ardea Real Outcome Bond Complex ETF,,0,0
GOVT.AX,State Street SPDR S&P/ASX iBoxx Australian Government Bond ETF,,0,0
RARI.AX,Russell Investments Australian Responsible Investment ETF,,0,0
SFY.AX,State Street SPDR S&P/ASX 50 ETF,,0,0
IJH.AX,iShares S&P Mid-Cap ETF,497.6,0,0
RGB.AX,Russell Investments Australian Government Bond ETF,,0,0
FEMX.AX,Fidelity Global Emerging Markets ETF,176.9,0,0
IGB.AX,iShares Treasury ETF,530.3,0,0
ETPMPM.AX,Global X Physical Precious Metals Basket,,0,0
ILB.AX,iShares Government Inflation ETF,1325.1,0,0
NDIA.AX,Global X - India Nifty 50 ETF,185.6,0,0
SSO.AX,State Street SPDR S&P/ASX Small Ordinaries ETF,,0,0
UBW.AX,UBS IQ MSCI World ex Australia Ethical ETF,,0,0
IJR.AX,iShares S&P Small-Cap ETF,865.5,0,0
DIV.AX,UBS IQ Morningstar Australia Dividend Yield ETF,,0,0
JEGA.AX,JPMorgan Global Equity Premium Income Complex ETF,,0,0
VIF.AX,Vanguard International Fixed Interest Index (Hedged) ETF,937.6,0,0
OZF.AX,State Street SPDR S&P/ASX 200 Financials EX A-REIT ETF,,0,0
WCMQ.AX,WCM Quality Global Growth ETF (Quoted Managed),,0,0
SYI.AX,State Street SPDR MSCI Australia Select High Dividend Yield ETF,,0,0
ZYUS.AX,Global X - S&P 500 High Yield Low Volatility ETF,69.8,0,0
QCB.AX,BetaShares Commodities Basket ETF Currency Hedged(Synthetic),,0,0
VCF.AX,Vanguard International Credit Securities Index (Hedged) ETF,172.3,0,0
UBJ.AX,UBS IQ MSCI Japan Ethical ETF,,0,0
UBA.AX,UBS IQ MSCI Australia Ethical ETF,,0,0
GLDN.AX,iShares Physical Gold ETF,381.6,0,0
IEU.AX,iShares Europe ETF,1160.4,0,0
CURE.AX,Global X - S&P Biotech ETF,43.8,0,0
GXLD.AX,Global X - Gold Bullion ETF,,0,0
WEMG.AX,State Street SPDR S&P Emerging Markets Carbon Aware ETF,,0,0
WXHG.AX,State Street SPDR S&P World ex Australia Carbon Aware (Hedged) ETF,,0,0
IZZ.AX,iShares China Large-Cap ETF,472.2,0,0
IEM.AX,iShares MSCI Emerging Markets ETF,1909.8,0,0
IVV.AX,iShares S&P 500 ETF,14016.9,0,0
INIF.AX,Intelligent Investor Australian Equity Income ETF,,0,0
GOLD.AX,Global X - Physical Gold Structured,,0,0
VGB.AX,Vanguard Australian Government Bond Index ETF,1388.3,0,0
ESGI.AX,VanEck - MSCI International Sustainable Equity ETF,252.2,0,0
UBP.AX,UBS IQ MSCI Asia APEX 50 Ethical ETF,,0,0
ETF.AX,UBS IQ Morningstar Australia Quality ETF,,0,0
TECH.AX,Global X - Morningstar Global Technology ETF,353.1,0,0
VGE.AX,Vanguard FTSE Emerging Markets Shares ETF,1905.2,0,0
WVOL.AX,iShares MSCI World ex Australia Minimum Volatility ETF,79.2,0,0
CNEW.AX,VanEck - China New Economy ETF,102.3,0,0
ROBO.AX,Global X - ROBO Global Robotics & Automation ETF,340.0,0,0
WXOZ.AX,State Street SPDR S&P World ex Australia Carbon Aware ETF,,0,0
MOAT.AX,VanEck - Morningstar Wide Moat ETF,908.4,0,0
