event_id,source_type,provider,issuer,etf_index_name,benchmark,asx_ticker,company_name,event_type,announcement_date,detected_date,effective_date,old_weight,new_weight,estimated_buy_sell_dollars,adv_dollars,flow_pressure,immediate_reaction,delayed_return,underreaction_score,tradeable_flag,confidence_score,source_url_or_file,notes,delayed_flow_opportunity_score
c63bda347997,announcement,S&P Dow Jones Indices,,S&P/ASX 200,S&P/ASX 200,ASB.AX,Austal,OFFICIAL_INDEX_ADD,2024-03-01,2024-03-01,2024-03-18,,,,1273413.5815873013,,-0.004901960784313819,0.05911330049261099,11.822660098522197,True,0.95,S&P DJI quarterly announcement,,
2e51c48c53d5,announcement,S&P Dow Jones Indices,,S&P/ASX 200,S&P/ASX 200,NCK.AX,Nick Scali,OFFICIAL_INDEX_ADD,2024-03-01,2024-03-01,2024-03-18,,,,4383514.307460317,,-0.027967257844474736,0.038596491228070295,1.380059905862222,True,0.95,S&P DJI quarterly announcement,,
6016ca2a386c,announcement,S&P Dow Jones Indices,,S&P/ASX 200,S&P/ASX 200,GYG.AX,Guzman y Gomez,OFFICIAL_INDEX_ADD,2024-09-06,2024-09-06,2024-09-23,,,,10184743.226666668,,0.033766233766233666,-0.005778894472361684,-0.17114418245071192,True,0.95,S&P DJI quarterly announcement,,
3ba13c0db73e,announcement,S&P Dow Jones Indices,,S&P/ASX 200,S&P/ASX 200,WGX.AX,Westgold Resources,OFFICIAL_INDEX_ADD,2024-09-06,2024-09-06,2024-09-23,,,,15154592.661269838,,-0.02777777777777779,-0.017857142857142794,-0.6428571428571402,True,0.95,S&P DJI quarterly announcement,,
2334e9d0f96f,announcement,S&P Dow Jones Indices,,S&P/ASX 200,S&P/ASX 200,YAL.AX,Yancoal Australia,OFFICIAL_INDEX_ADD,2024-09-06,2024-09-06,2024-09-23,,,,22760731.243015874,,0.028301886792452935,0.03302752293577971,1.166972477064212,True,0.95,S&P DJI quarterly announcement,,
98a977fa0439,announcement,S&P Dow Jones Indices,,S&P/ASX 200,S&P/ASX 200,CSC.AX,Capstone Copper,OFFICIAL_INDEX_ADD,2025-03-07,2025-03-07,2025-03-24,,,,7781582.392380952,,0.0,0.05396475770925102,10.792951541850204,True,0.95,S&P DJI quarterly announcement,,
6c84af7ba0e8,announcement,S&P Dow Jones Indices,,S&P/ASX 200,S&P/ASX 200,DGT.AX,DigiCo Infrastructure REIT,OFFICIAL_INDEX_ADD,2025-03-07,2025-03-07,2025-03-24,,,,10822180.928771932,,0.009638554216867545,-0.1551312649164679,-16.094868735083416,True,0.95,S&P DJI quarterly announcement,,
e611bcf74128,announcement,S&P Dow Jones Indices,,S&P/ASX 200,S&P/ASX 200,IMD.AX,Imdex,OFFICIAL_INDEX_ADD,2025-03-07,2025-03-07,2025-03-24,,,,2256743.786507936,,-0.0033670033670034627,0.0,0.0,True,0.95,S&P DJI quarterly announcement,,
18e0071d7fe0,announcement,S&P Dow Jones Indices,,S&P/ASX 200,S&P/ASX 200,MAQ.AX,Macquarie Technology Group,OFFICIAL_INDEX_ADD,2025-03-07,2025-03-07,2025-03-24,,,,4157123.2471428574,,-0.0001464343242056909,-0.005418863503222071,-1.0837727006444142,True,0.95,S&P DJI quarterly announcement,,
8d50c2e289e0,announcement,S&P Dow Jones Indices,,S&P/ASX 200,S&P/ASX 200,NXL.AX,Nuix,OFFICIAL_INDEX_ADD,2025-03-07,2025-03-07,2025-03-24,,,,5888329.330634919,,0.006006006006006093,-0.05373134328358209,-8.946268656716288,True,0.95,S&P DJI quarterly announcement,,
2356a6929cdf,announcement,S&P Dow Jones Indices,,S&P/ASX 200,S&P/ASX 200,SPR.AX,Spartan Resources,OFFICIAL_INDEX_ADD,2025-03-07,2025-03-07,2025-03-24,,,,5446572.940476191,,0.014084507042253502,0.18055555555555558,12.819444444444462,True,0.95,S&P DJI quarterly announcement,,
8cb128ebe1a4,announcement,S&P Dow Jones Indices,,S&P/ASX 200,S&P/ASX 200,TPW.AX,Temple & Webster,OFFICIAL_INDEX_ADD,2025-03-07,2025-03-07,2025-03-24,,,,5427674.128730159,,0.023749999999999938,0.021367521367521514,0.8996851102114345,True,0.95,S&P DJI quarterly announcement,,
