asx_ticker,company,n_etfs,etfs,etf_shares,adv_dollars_63d,etf_pct_float,days_to_exit_20pct_adv,inflow5_buy_days,forced_flow_score
SGP.AX,Stockland,25,"A200.AX,ACWX,EPP,EWA,EX20.AX,FAIR.AX,FLAU,GEAR.AX,GRNV.AX,HVST.AX,IOZ.AX,IVE.AX",233344457.0,46476900.795555554,0.09596159853244315,102.98381181600047,0.6520778539464408,0.8841856109555108
CLW.AX,Charter Hall Long WALE REIT,15,"A200.AX,AUMF.AX,EX20.AX,GEAR.AX,IOZ.AX,ISO.AX,IXUS,MVA.AX,QOZ.AX,REET,VAP.AX,VAS.AX",57942755.0,5925516.97984127,0.08095987155916434,171.52911326988942,1.1600452705442603,0.8767526851159955
GMD.AX,Genesis Minerals Limited,22,"A200.AX,EX20.AX,FLAU,GDX,GDX.AX,GDXJ,GEAR.AX,GOAU,GOEX,IOZ.AX,IXUS,MVE.AX",107218124.0,30593515.24984127,0.09385929950358109,104.51938244685739,0.7180750466037624,0.8753523241545043
CBA.AX,Commonwealth Bank of Australia,25,"A200.AX,ACWX,AUMF.AX,EPP,EWA,FLAU,GEAR.AX,HVST.AX,ILC.AX,IOZ.AX,IVE.AX,IXG",74205539.0,372685758.1992063,0.04437801941548934,167.4956024489923,0.963215959181482,0.8737216923001517
SLX.AX,Silex Systems Limited,10,"A200.AX,EX20.AX,GEAR.AX,IOZ.AX,ISO.AX,NLR,URA,VAS.AX,VPL,VSO.AX",39728999.0,5217653.846349206,0.16847767335851682,217.00534913425778,1.5469840775177173,0.8727318696923105
WBC.AX,Westpac Banking Corporation,26,"A200.AX,ACWX,AUMF.AX,EPP,EWA,FLAU,GEAR.AX,GRNV.AX,IHD.AX,ILC.AX,IOZ.AX,IVE.AX",160271116.0,206642385.55793646,0.04693278608006306,146.43980186668205,0.8368309773869451,0.8710413089964525
SFR.AX,Sandfire Resources Limited,19,"A200.AX,BATT,COPX,EX20.AX,FLAU,GEAR.AX,GRNV.AX,IOZ.AX,IXUS,MVE.AX,MVR.AX,PICK",39465505.0,32575993.627460316,0.08451744401446833,109.40652460684305,0.8699772386474175,0.8696087392449406
ANZ.AX,ANZ Group Holdings Limited,25,"A200.AX,ACWX,AUMF.AX,EPP,EWA,FLAU,GEAR.AX,IHD.AX,ILC.AX,IOZ.AX,IVE.AX,IXG",142060409.0,177781374.69396827,0.04717999931461786,143.69053109070114,0.8545614121482025,0.8682541578404406
CIP.AX,Centuria Industrial REIT,14,"A200.AX,AUMF.AX,EX20.AX,GEAR.AX,IOZ.AX,ISO.AX,MVA.AX,QOZ.AX,REET,VAP.AX,VAS.AX,VNQI",46177228.0,3948019.313333333,0.07395598249806211,173.05084672969565,1.172016488528366,0.8621829577485914
WGX.AX,Westgold Resources Limited,20,"A200.AX,AUMF.AX,EX20.AX,GDX,GDX.AX,GDXJ,GEAR.AX,GOAU,GOEX,IOZ.AX,IXUS,MVE.AX",89716851.0,23925615.009523813,0.09495539144151956,104.12615721068902,0.6833942688595427,0.8588753986961692
WPR.AX,Waypoint REIT,14,"A200.AX,AUMF.AX,EX20.AX,GEAR.AX,IOZ.AX,ISO.AX,IXUS,QOZ.AX,REET,VAP.AX,VAS.AX,VNQI",48974941.0,3374806.3614285714,0.07501357981010322,175.6624803938192,1.0594110831296555,0.8581106124429282
BWP.AX,BWP Trust,15,"A200.AX,AUMF.AX,EX20.AX,GEAR.AX,IOZ.AX,ISO.AX,IXUS,MVOL.AX,QOZ.AX,REET,VAP.AX,VAS.AX",46380512.0,4884765.224920635,0.05907389759873243,180.70128422443392,1.1036328769440915,0.8572182107955109
DXS.AX,Dexus,18,"A200.AX,EX20.AX,FLAU,GEAR.AX,HVST.AX,IOZ.AX,IXUS,MVOL.AX,QOZ.AX,REET,VAP.AX,VAS.AX",84734097.0,19069959.436825406,0.07899952179531254,131.13810852648552,0.7468294275157189,0.8552670244609486
ALX.AX,Atlas Arteria Limited,23,"A200.AX,EX20.AX,FLAU,GEAR.AX,GLIN.AX,GRNV.AX,IFRA.AX,IGF,IHD.AX,IOZ.AX,IXUS,MVE.AX",103671565.0,27584180.757301588,0.07144691141794282,91.69948103887539,0.7043973898284269,0.8547351019743814
MPL.AX,Medibank Private Limited,27,"A200.AX,ACWX,AUMF.AX,EPP,EWA,EX20.AX,FAIR.AX,FLAU,GEAR.AX,GRNV.AX,IHD.AX,IOZ.AX",144768630.0,32962599.483174596,0.05256661571683554,102.06620877789094,0.6917223008695215,0.8474348587851221
ORG.AX,Origin Energy Limited,23,"A200.AX,ACWX,EPP,EWA,EX20.AX,FLAU,GEAR.AX,IOZ.AX,IVE.AX,IXUS,JXI,MVOL.AX",93418446.0,48469468.00095237,0.05426859896861702,112.69968481417365,0.6740146638084669,0.84537053393517
BMN.AX,Bannerman Energy Ltd,6,"ISO.AX,URA,URNJ,URNM,URNM.AX,VAS.AX",44511153.0,3763980.4498412693,0.21427200912714459,222.68406636890566,1.451943958894055,0.8450564616394914
QUB.AX,Qube Holdings Limited,16,"A200.AX,EX20.AX,FLAU,GEAR.AX,IGF,IOZ.AX,IXUS,MVE.AX,MVOL.AX,MVW.AX,QOZ.AX,VAS.AX",148221478.0,33377863.255079366,0.08372145975149416,110.53951525776137,0.7859576629572588,0.840216904488956
QBE.AX,QBE Insurance Group Limited,25,"A200.AX,ACWX,AUMF.AX,EPP,EWA,FLAU,GEAR.AX,GRNV.AX,HVST.AX,IHD.AX,ILC.AX,IOZ.AX",72493220.0,75804466.36412697,0.048522110281423225,108.44826013915217,0.6868957729536442,0.8390848432362433
ARF.AX,Arena REIT,13,"A200.AX,AUMF.AX,EX20.AX,GEAR.AX,IOZ.AX,ISO.AX,QOZ.AX,REET,VAP.AX,VAS.AX,VNQI,VPL",29883596.0,3103411.517301587,0.07348997503903992,158.40574602295817,0.9343354846860397,0.8365370310613458
APA.AX,APA Group,24,"A200.AX,ACWX,EPP,EWA,EX20.AX,FLAU,GEAR.AX,GLIN.AX,HVST.AX,IFRA.AX,IOZ.AX,IVE.AX",70944116.0,35236174.12650793,0.05359328876298395,101.95133425933568,0.660819954332814,0.8349329204028445
DOW.AX,Downer EDI Ltd,19,"A200.AX,AUMF.AX,EX20.AX,FLAU,GEAR.AX,GRNV.AX,IHD.AX,IOZ.AX,IXUS,MVE.AX,MVOL.AX,QOZ.AX",32113097.0,9824140.031111112,0.04872007582970991,126.95524947949997,0.9212795341265543,0.8339455861174525
TLC.AX,The Lottery Corporation Limited,20,"A200.AX,ACWX,EPP,EWA,EX20.AX,FLAU,GEAR.AX,HVST.AX,IOZ.AX,IVE.AX,IXUS,MVOL.AX",117394265.0,27404409.884920638,0.052743172349518246,115.83859350849481,0.7495602184674794,0.8333638902118122
