asx_ticker,n_asx_etfs,etfs,etf_shares,inflow5_usd,adv_dollars_63d,last_close,etf_pct_float,days_to_exit_20pct_adv,inflow5_buy_days,forced_flow_score
ANZ.AX,17,"A200.AX,AUMF.AX,GEAR.AX,IHD.AX,ILC.AX,IOZ.AX,IVE.AX,MVB.AX,MVOL.AX,MVW.AX,QFN.AX,QOZ.AX,VAS.AX,VEU.AX,VHY.AX,VLC.AX,ZYAU.AX",120629273.0,125312427.03897862,177781374.69396827,35.25,0.04006245693311252,122.01347598862097,0.7048681407413495,0.8773569008789133
DOW.AX,15,"A200.AX,AUMF.AX,EX20.AX,GEAR.AX,GRNV.AX,IHD.AX,IOZ.AX,MVE.AX,MVOL.AX,QOZ.AX,VAS.AX,VEU.AX,VHY.AX,VSO.AX,ZYAU.AX",29052284.0,8169867.423270785,9824140.031111112,8.15,0.044076392865698005,114.85469505383692,0.8316114588552717,0.8769247749492725
CLW.AX,11,"A200.AX,AUMF.AX,EX20.AX,GEAR.AX,IOZ.AX,ISO.AX,MVA.AX,QOZ.AX,VAP.AX,VAS.AX,VSO.AX",51761997.0,6087222.203635729,5925516.97984127,3.75,0.07232387601807767,153.23208995652135,1.0272896397638525,0.8761881570038157
MPL.AX,19,"A200.AX,AUMF.AX,EX20.AX,FAIR.AX,GEAR.AX,GRNV.AX,IHD.AX,IOZ.AX,IVE.AX,MVOL.AX,MVW.AX,QFN.AX,QOZ.AX,VAS.AX,VEU.AX,VHY.AX,VMIN.AX,WDMF.AX,ZYAU.AX",125305403.0,19482915.096588634,32962599.483174596,4.91,0.04549936658752805,88.34405232401357,0.5910612452313865,0.8760742132415316
GBP.AX,15,"ARMR.AX,BNKS.AX,DRUG.AX,ETHI.AX,F100.AX,FOOD.AX,FUEL.AX,HACK.AX,HEUR.AX,INCM.AX,MNRS.AX,POU.AX,QLTY.AX,RBTZ.AX,URNM.AX",-36630097.45,99349.28070545249,,,,,,0.8739946380697051
CBA.AX,17,"A200.AX,AUMF.AX,GEAR.AX,HVST.AX,ILC.AX,IOZ.AX,IVE.AX,MVB.AX,MVOL.AX,MVW.AX,QFN.AX,QOZ.AX,VAS.AX,VEU.AX,VHY.AX,VLC.AX,WDMF.AX",62325740.0,290269560.28774077,372685758.1992063,163.41,0.03727340218908377,140.68070268149737,0.7788587406460196,0.8731018865522656
TLS.AX,18,"A200.AX,AUMF.AX,FAIR.AX,GEAR.AX,HVST.AX,IHD.AX,ILC.AX,IOZ.AX,IVE.AX,MVOL.AX,MVW.AX,QOZ.AX,VAS.AX,VEU.AX,VHY.AX,VLC.AX,VMIN.AX,ZYAU.AX",458388858.0,79336393.51834646,121168811.03380954,5.04,0.04115120309445467,99.92389262823333,0.6547591978616457,0.871622351545533
BHP.AX,20,"A200.AX,AUMF.AX,GEAR.AX,IHD.AX,IHOO.AX,ILC.AX,IOO.AX,IOZ.AX,IVE.AX,MVOL.AX,MVR.AX,MVW.AX,QOZ.AX,QRE.AX,VAS.AX,VEU.AX,VHY.AX,VLC.AX,WDMF.AX,ZYAU.AX",198463349.0,364072553.89960337,538625624.3819048,60.34,0.03906229438373554,106.53678045596928,0.6759287665108612,0.8685152687714202
DNL.AX,16,"A200.AX,AUMF.AX,EX20.AX,GEAR.AX,GRNV.AX,HVST.AX,IOZ.AX,MVE.AX,MVOL.AX,MVR.AX,MVW.AX,QOZ.AX,VAS.AX,VEU.AX,VHY.AX,VSO.AX",89057481.0,12683528.850559065,19986058.90142857,3.79,0.05077161874030831,77.68018317766634,0.6346188066949241,0.8674981645868975
AZJ.AX,21,"A200.AX,AUMF.AX,EX20.AX,GEAR.AX,GLIN.AX,HVST.AX,IFRA.AX,IHD.AX,IOZ.AX,MVE.AX,MVOL.AX,MVR.AX,MVW.AX,QOZ.AX,VAS.AX,VBLD.AX,VEU.AX,VHY.AX,VSO.AX,WDMF.AX,ZYAU.AX",91812272.0,14232355.225768443,27863025.784444444,4.2,0.054542699799799206,68.18350401414475,0.510797188211848,0.8668655753320478
BWP.AX,11,"A200.AX,AUMF.AX,EX20.AX,GEAR.AX,IOZ.AX,ISO.AX,MVOL.AX,QOZ.AX,VAP.AX,VAS.AX,VSO.AX",40517716.0,4597704.733516132,4884765.224920635,3.89,0.05160657575143894,157.85947587298938,0.941233513139996,0.8661881570038157
SDF.AX,17,"A200.AX,AUMF.AX,EX20.AX,FAIR.AX,GEAR.AX,GRNV.AX,IOZ.AX,MVE.AX,MVOL.AX,MVW.AX,QFN.AX,QOZ.AX,VAS.AX,VEU.AX,VHY.AX,VSO.AX,ZYAU.AX",52746360.0,9293148.849150816,16075990.20968254,5.11,0.047434134099097525,73.35447618545747,0.57807629439545,0.8658157629337638
BOQ.AX,18,"A200.AX,AUMF.AX,EX20.AX,FAIR.AX,GEAR.AX,IHD.AX,IOZ.AX,MVB.AX,MVE.AX,MVOL.AX,MVW.AX,QFN.AX,QOZ.AX,VAS.AX,VEU.AX,VHY.AX,VSO.AX,ZYAU.AX",34905219.0,8306893.092512366,16356256.238095239,6.28,0.053088762539604255,70.00904855899006,0.5078725211680679,0.8615077383650174
ORG.AX,15,"A200.AX,EX20.AX,GEAR.AX,IOZ.AX,IVE.AX,MVOL.AX,MVR.AX,MVW.AX,QOZ.AX,QRE.AX,VAS.AX,VEU.AX,VHY.AX,WDMF.AX,ZYAU.AX",81050207.0,27946645.0138751,48469468.00095237,10.79,0.04708364748442075,97.77868476878251,0.5765824583287356,0.8611347626692888
APA.AX,16,"A200.AX,EX20.AX,GEAR.AX,GLIN.AX,HVST.AX,IFRA.AX,IOZ.AX,IVE.AX,MVOL.AX,MVW.AX,QOZ.AX,VAS.AX,VBLD.AX,VEU.AX,VHY.AX,ZYAU.AX",61632785.0,19931479.015910454,35236174.12650793,10.31,0.046559233238904624,88.57034267463098,0.565653891490908,0.8610736864862018
QBE.AX,17,"A200.AX,AUMF.AX,GEAR.AX,GRNV.AX,HVST.AX,IHD.AX,ILC.AX,IOZ.AX,IVE.AX,MVOL.AX,MVW.AX,QFN.AX,QOZ.AX,VAS.AX,VEU.AX,VHY.AX,ZYAU.AX",61808441.0,43246178.781622216,75804466.36412697,24.43,0.041370434235433885,92.46406613423213,0.5704964477144272,0.8572791276492775
NHF.AX,16,"A200.AX,AUMF.AX,EX20.AX,FAIR.AX,GEAR.AX,GRNV.AX,IHD.AX,IOZ.AX,ISO.AX,MVOL.AX,QFN.AX,QOZ.AX,VAS.AX,VHY.AX,VSO.AX,ZYAU.AX",18971258.0,4694461.299578266,6188280.073174604,6.98,0.038871937578548406,101.73622134691286,0.7586051768936817,0.854002462581167
WPR.AX,10,"A200.AX,AUMF.AX,EX20.AX,GEAR.AX,IOZ.AX,ISO.AX,QOZ.AX,VAP.AX,VAS.AX,VSO.AX",42775982.0,3043788.754420457,3374806.3614285714,2.49,0.06551880357982542,153.4281603198126,0.9019150814721135,0.8496586899814429
IAG.AX,16,"A200.AX,EX20.AX,FAIR.AX,GEAR.AX,HVST.AX,IHD.AX,IOZ.AX,IVE.AX,MVOL.AX,MVW.AX,QFN.AX,QOZ.AX,VAS.AX,VEU.AX,VHY.AX,ZYAU.AX",103871264.0,25718930.59904515,45581785.63825397,8.22,0.04442829628196026,86.186921676364,0.5642370135113979,0.8496307884100658
