asx_ticker,company,n_etfs,etfs,etf_shares,etf_value_usd,last_close_aud,adv_shares_63d,adv_dollars_63d_aud,shares_outstanding,etf_pct_of_shares_out,days_to_exit_at_100pct_adv,days_to_exit_at_20pct_adv
PDI.AX,Predictive Discovery Ltd,1,GDXJ,45250373,30123328.73,0.97,27241769.53968254,23857148.748412695,2711661000.0,0.01668732669754811,1.6610658472124833,8.305329236062416
INR.AX,IONEER LTD,1,LIT,12701314,1206448.78,0.14,8325266.222222222,1121484.701031746,3074629999.9999995,0.004131005681984499,1.5256345756363934,7.628172878181966
IGO.AX,IGO LTD,2,"LIT,PICK",4524712,27174083.74,7.94,3937309.4444444445,32982006.193809524,757267812.9722922,0.005975048618850456,1.1491888214131563,5.74594410706578
MIN.AX,MINERAL RESOURCES LTD,5,"BATT,ILIT,LIT,PICK,SLX",1309273,64858100.36,66.63,1144806.0952380951,73282666.37507935,196479085.99729854,0.0066636761533896876,1.1436635474304486,5.718317737152243
BSL.AX,BLUESCOPE STEEL LTD,2,"PICK,SLX",849950,19922968.810000002,33.5,1157415.0476190476,34775928.0436508,438077431.01492536,0.001940182122669182,0.7343519524378546,3.6717597621892724
EUR.AX,EUROPEAN LITHIUM LTD,1,LIT,7617656,2277911.01,0.415,11737297.238095239,4578416.186349207,1430104571.0843375,0.005326642648393273,0.6490127876523143,3.245063938261571
DNL.AX,Dyno Nobel Ltd,1,MOO,3712285,10013631.61,3.79,5732316.619047619,19986058.90142857,1754080000.0,0.0021163715451974823,0.6476064123298143,3.238032061649072
IMD.AX,IMDEX LTD,1,PICK,716455,2105114.95,4.32,1343727.365079365,5389445.796507936,511841821.0648148,0.0013997586178275084,0.5331847952338783,2.6659239761693914
FMG.AX,FORTESCUE LTD,2,"PICK,SLX",3034742,42263141.85,19.6,5858291.936507937,122514916.78746033,3078964918.010204,0.00098563708285485,0.5180250545535251,2.5901252727676254
RIO.AX,RIO TINTO LTD,2,"PICK,SLX",642151,80537316.02000001,175.99,1349088.0634920634,237129534.66492066,1624017316.000909,0.00039540896126728277,0.4759889419952441,2.3799447099762205
